country_code,country_name,genre,content_type,lyric_style,language,query,video_count,total_views,median_views,total_likes,total_comments,avg_like_rate,avg_comment_rate,views_score,median_views_score,like_rate_score,comment_rate_score,youtube_opportunity_score
PH,Philippines,pop,lyrical,english,en,OPM pop song,25,485699473,3350210.0,1252487,42585,0.0038781049303953804,9.760464251709062e-05,0.5067774265148745,0.6283839375565169,0.0,0.0,0.37906550076874057
US,United States,lofi,instrumental,no_lyrics,en,lofi instrumental music,25,330973417,4652992.0,3569000,107953,0.008022609830041223,0.00026498327055952514,0.4615191067140521,0.6517871945427233,0.023611576852884213,0.018418611482649973,0.3674215205159009
US,United States,jazz,instrumental,no_lyrics,en,jazz instrumental music,25,355181363,3194095.0,2273986,54450,0.00795599663004002,0.0002291086912568897,0.4698486330302408,0.624984155859995,0.023232076109290123,0.014470915495374709,0.36557659642781914
IN,India,lofi,instrumental,no_lyrics,hi,Hindi lofi music,25,293038130,6524430.0,2390835,68911,0.008740016714133693,0.0002063500103075481,0.44715459768160964,0.6758712552421235,0.027698701416299504,0.011966513905004177,0.36470133218742506
HK,Hong Kong,pop,lyrical,local_language,zh,Cantonese pop song,25,381421031,2476141.0,1075627,63355,0.004696042419647797,0.00018694707771090908,0.4782589657985481,0.6068448709463231,0.004659855484786351,0.009831384221476506,0.36267214304447815
JP,Japan,city pop,lyrical,local_language,ja,Japanese city pop,25,336859634,807120.0,4970918,83527,0.019542021598468903,0.0007866615456229458,0.46359920460428233,0.5269798072387034,0.08923858969427122,0.07582492183247638,0.361955090478894
NL,Netherlands,edm,instrumental,no_lyrics,nl,Dutch electronic music,25,196222139,3158527.0,2514161,38462,0.017512556328265615,0.0007225928657307234,0.39983091945175664,0.6241863476632518,0.07767656326217333,0.06877470199890276,0.3467204190476901
GB,United Kingdom,jazz,instrumental,no_lyrics,en,jazz instrumental UK,25,250559583,2318456.0,1974945,54299,0.012127069955088908,0.000303470912553764,0.4286754244747475,0.6021569270244252,0.04699501541280571,0.022653853060777194,0.34521642791329626
JP,Japan,jazz,instrumental,no_lyrics,ja,Japanese jazz instrumental,25,116955253,1193154.0,1632506,34924,0.021808826276863414,0.0006279324033190005,0.33877221680145997,0.5548284582779646,0.10215275777233601,0.058358113571092884,0.3044284307578372
AU,Australia,lofi,instrumental,no_lyrics,en,Australia lofi music,25,21465126,173175.0,242542,10956,0.025601690797736512,0.007713081182747879,0.1387231335022012,0.4173211573018214,0.12376101118152506,0.83801919809132,0.29709282960239164
BR,Brazil,bossa nova,instrumental,no_lyrics,pt,Bossa nova instrumental,25,108977800,2499589.0,708589,9905,0.010607543750521664,0.00011181956543757204,0.3304359956712696,0.6075163611809378,0.03833815274093944,0.0015642328150866785,0.2927066279052263
VN,Vietnam,lofi,instrumental,no_lyrics,vi,Vietnamese lofi music,25,69489770,2308767.0,294291,11826,0.009551551945956787,0.0008543838366344698,0.2773411261180849,0.6018585628777361,0.03232208272697225,0.08327719086732582,0.2763821666737344
